country,region_name,nuts_code,year_week,rate_14_day_per_100k,weekly_count,population,source
Austria,Burgenland,AT11,2020-13,NA,113,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-14,57.73750492,57,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-15,32.26507628,38,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-16,23.77426673,32,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-17,15.62308957,14,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-18,8.151177166,10,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-19,4.075588583,2,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-20,2.037794291,4,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-21,2.377426673,3,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-22,1.69816191,2,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-23,0.679264764,0,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-24,0,0,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-25,1.358529528,4,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-26,3.735956201,7,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-27,6.113382874,11,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-28,6.453015256,8,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-29,8.490809548,17,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-30,11.2078686,16,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-31,11.88713337,19,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-32,9.170074312,8,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-33,6.453015256,11,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-34,12.90603051,27,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-35,21.39684006,36,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-36,28.52912008,48,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-37,35.32176772,56,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-38,45.51073918,78,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-39,64.19052018,111,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-40,82.19103642,131,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-41,109.361627,191,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-42,147.7400861,244,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-43,230.6103873,435,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-44,514.882691,1081,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-45,854.8547053,1436,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-46,947.9139779,1355,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-47,823.6085261,1070,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-48,614.3949789,739,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-49,465.2963632,631,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-50,357.2932658,421,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-51,265.932155,362,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-52,232.987814,324,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-53,254.3846541,425,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-01,283.5930389,410,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-02,252.0072274,332,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-03,217.3647244,308,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-04,195.9678844,269,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-05,187.8167072,284,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-06,206.4964882,324,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-07,252.0072274,418,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-08,320.9526009,527,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-09,394.9924602,636,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-10,466.9945251,739,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-11,496.20291,722,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-12,537.2984282,860,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-13,513.5241614,652,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-14,404.8417992,540,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-15,307.3673056,365,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-16,236.0445054,330,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-17,195.9678844,247,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-18,135.5133204,152,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-19,83.54956595,94,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-20,60.1149316,83,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-21,49.92596014,64,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-22,31.9254439,30,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-23,21.05720768,32,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-24,22.41573721,34,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-25,22.41573721,32,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-26,20.03831053,27,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-27,17.32125148,24,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-28,16.30235433,24,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-29,20.7175753,37,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-30,33.62360581,62,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-31,37.69919439,49,294436,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-13,NA,942,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-14,85.55549025,499,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-15,53.31632911,399,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-16,30.87359815,121,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-17,11.99320543,81,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-18,7.837144145,51,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-19,6.352836542,56,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-20,6.76844267,58,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-21,6.47158115,51,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-22,4.393550505,23,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-23,2.612381382,21,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-24,3.265476727,34,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-25,4.334178201,39,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-26,4.868528938,43,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-27,4.393550505,31,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-28,4.274805897,41,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-29,9.49956866,119,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-30,13.83374686,114,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-31,12.82441769,102,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-32,10.92450396,82,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-33,13.71500225,149,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-34,19.83034958,185,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-35,24.04578317,220,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-36,29.98301358,285,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-37,49.57587395,550,1684287,Epidemic intelligence subnational data
Austria,Niederosterreich,AT12,2020-38,83.95243803,864,1684287,Epidemic intelligence subnational data
