;region;DUMB;ARIMA;TBATS;holt;CSsplines;GRU_U;GRU_R;GRU_N;GRU_F_Measures;GRU_F;PT_U;PT_R;PT_N;PT_F_Measures;PT_F;RF_U;RF_R;RF_N;RF_F_Measures;RF_F
1;Alentejo;0.614771588;0.726310777;0.654877369;0.705719893;0.803329414;0.818028613;0.855463814;0.885548352;0.892811908;0.912711129;0.727407933;0.7949097;0.786451747;0.820291934;0.8580136;0.78760088;0.765677305;0.751315628;0.709383394;0.841108151
2;Algarve;0.548453093;0.672291538;0.727026834;0.716982407;0.828551746;0.820323476;0.858189202;0.87029689;0.823564812;0.839268279;0.67664186;0.511515008;0.530431058;0.539387585;0.586355516;0.706079822;0.695178179;0.499571277;0.508380231;0.618683643
3;Regiao Autonoma Dos Acores;0.526785;0.423214302;0.512379499;0.443478264;0.491969019;0.543434997;0.616805916;0.637195944;0.531987159;0.570454822;0.476819093;0.438741247;0.406660089;0.467325817;0.442637457;0.490133531;0.310210445;0.264025244;0.249796402;0.307930092
4;Centro;0.578300246;0.717556905;0.578471954;0.722608476;0.780915883;0.800926251;0.829747418;0.890695197;0.893823118;0.906581032;0.63946494;0.779855961;0.749060191;0.810309282;0.870870724;0.713372348;0.738050531;0.72001615;0.689053554;0.84888739
5;Area Metropolitana De Lisboa;0.489330084;0.559010556;0.588191818;0.614931267;0.699616567;0.758951822;0.7773702;0.844381771;0.877763432;0.935151925;0.584546274;0.738402391;0.7205655;0.769880455;0.840464778;0.751476465;0.746815998;0.666092791;0.669359352;0.843773733
6;Regiao Autonoma Da Madeira;0.615934951;0.63840963;0.657466286;0.54870336;0.478851978;0.641014612;0.61966064;0.615573299;0.637820063;0.723892249;0.623448402;0.573596885;0.620271003;0.68115817;0.581597327;0.643114809;0.630354558;0.590909306;0.584726249;0.607879677
7;Norte;0.639361548;0.794566986;0.733445231;0.783381825;0.806737182;0.806440691;0.793451777;0.821611542;0.819804469;0.809766137;0.213531454;0.524091538;0.508118355;0.459756225;0.71702256;0.831088231;0.767838264;0.769220246;0.789697281;0.891960767
8;global;0.594926109;0.693919811;0.658482631;0.704670036;0.76621002;0.789078461;0.80563082;0.834784825;0.834601243;0.847582963;0.529967141;0.659539187;0.648177563;0.669326105;0.748600011;0.757302714;0.726005656;0.676845462;0.670873333;0.764878453
;;;;;;;;;;;;;;;;;;;;;
;region;DUMB;ARIMA;TBATS;holt;CSsplines;GRU_U;GRU_R;GRU_N;GRU_F_Measures;GRU_F;PT_U;PT_R;PT_N;PT_F_Measures;PT_F;RF_U;RF_R;RF_N;RF_F_Measures;RF_F
;Alentejo;0.615;0.726;0.655;0.706;0.803;0.818;0.855;0.886;0.893;0.913;0.727;0.795;0.786;0.82;0.858;0.788;0.766;0.751;0.709;0.841
;Algarve;0.548;0.672;0.727;0.717;0.829;0.82;0.858;0.87;0.824;0.839;0.677;0.512;0.53;0.539;0.586;0.706;0.695;0.5;0.508;0.619
;Regiao Autonoma Dos Acores;0.527;0.423;0.512;0.443;0.492;0.543;0.617;0.637;0.532;0.57;0.477;0.439;0.407;0.467;0.443;0.49;0.31;0.264;0.25;0.308
;Centro;0.578;0.718;0.578;0.723;0.781;0.801;0.83;0.891;0.894;0.907;0.639;0.78;0.749;0.81;0.871;0.713;0.738;0.72;0.689;0.849
;Area Metropolitana De Lisboa;0.489;0.559;0.588;0.615;0.7;0.759;0.777;0.844;0.878;0.935;0.585;0.738;0.721;0.77;0.84;0.751;0.747;0.666;0.669;0.844
;Regiao Autonoma Da Madeira;0.616;0.638;0.657;0.549;0.479;0.641;0.62;0.616;0.638;0.724;0.623;0.574;0.62;0.681;0.582;0.643;0.63;0.591;0.585;0.608
;Norte;0.639;0.795;0.733;0.783;0.807;0.806;0.793;0.822;0.82;0.81;0.214;0.524;0.508;0.46;0.717;0.831;0.768;0.769;0.79;0.892
;global;0.595;0.694;0.658;0.705;0.766;0.789;0.806;0.835;0.835;0.848;0.53;0.66;0.648;0.669;0.749;0.757;0.726;0.677;0.671;0.765
;;;;;;;;;;;;;;;;;;;;;
;region;DUMB;ARIMA;TBATS;holt;CSsplines;GRU_U;GRU_R;GRU_N;GRU_F_Measures;GRU_F;PT_U;PT_R;PT_N;PT_F_Measures;PT_F;RF_U;RF_R;RF_N;RF_F_Measures;RF_F
;Alentejo;0,615;0,726;0,655;0,706;0,803;0,818;0,855;0,886;0,893;0,913;0,727;0,795;0,786;0,82;0,858;0,788;0,766;0,751;0,709;0,841
;Algarve;0,548;0,672;0,727;0,717;0,829;0,82;0,858;0,87;0,824;0,839;0,677;0,512;0,53;0,539;0,586;0,706;0,695;0,5;0,508;0,619
;Area Metropolitana De Lisboa;0,489;0,559;0,588;0,615;0,7;0,759;0,777;0,844;0,878;0,935;0,585;0,738;0,721;0,77;0,84;0,751;0,747;0,666;0,669;0,844
;Centro;0,578;0,718;0,578;0,723;0,781;0,801;0,83;0,891;0,894;0,907;0,639;0,78;0,749;0,81;0,871;0,713;0,738;0,72;0,689;0,849
;Norte;0,639;0,795;0,733;0,783;0,807;0,806;0,793;0,822;0,82;0,81;0,214;0,524;0,508;0,46;0,717;0,831;0,768;0,769;0,79;0,892
;Regiao Autonoma Da Madeira;0,616;0,638;0,657;0,549;0,479;0,641;0,62;0,616;0,638;0,724;0,623;0,574;0,62;0,681;0,582;0,643;0,63;0,591;0,585;0,608
;Regiao Autonoma Dos Acores;0,527;0,423;0,512;0,443;0,492;0,543;0,617;0,637;0,532;0,57;0,477;0,439;0,407;0,467;0,443;0,49;0,31;0,264;0,25;0,308
;global;0,595;0,694;0,658;0,705;0,766;0,789;0,806;0,835;0,835;0,848;0,53;0,66;0,648;0,669;0,749;0,757;0,726;0,677;0,671;0,765
