country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Austria,AT,2020-01,GISAID,0,0,NA,TRUE,B.1.1.529,0,0,NA
Austria,AT,2020-01,GISAID,0,0,NA,TRUE,B.1.617.2,0,0,NA
Austria,AT,2020-01,GISAID,0,0,NA,TRUE,BA.4,0,0,NA
Austria,AT,2020-01,GISAID,0,0,NA,TRUE,BA.5,0,0,NA
Austria,AT,2020-01,GISAID,0,0,NA,TRUE,Other,0,0,NA
Austria,AT,2020-01,GISAID,0,0,NA,TRUE,UNK,0,NA,NA
Austria,AT,2020-01,GISAID,0,0,NA,TRUE,XD,0,0,NA
Austria,AT,2020-02,GISAID,0,0,NA,TRUE,B.1.1.529,0,0,NA
Austria,AT,2020-02,GISAID,0,0,NA,TRUE,B.1.617.2,0,0,NA
Austria,AT,2020-02,GISAID,0,0,NA,TRUE,BA.4,0,0,NA
Austria,AT,2020-02,GISAID,0,0,NA,TRUE,BA.5,0,0,NA
Austria,AT,2020-02,GISAID,0,0,NA,TRUE,Other,0,0,NA
Austria,AT,2020-02,GISAID,0,0,NA,TRUE,UNK,0,NA,NA
Austria,AT,2020-02,GISAID,0,0,NA,TRUE,XD,0,0,NA
Austria,AT,2020-03,GISAID,0,0,NA,TRUE,B.1.1.529,0,0,NA
Austria,AT,2020-03,GISAID,0,0,NA,TRUE,B.1.617.2,0,0,NA
Austria,AT,2020-03,GISAID,0,0,NA,TRUE,BA.4,0,0,NA
Austria,AT,2020-03,GISAID,0,0,NA,TRUE,BA.5,0,0,NA
Austria,AT,2020-03,GISAID,0,0,NA,TRUE,Other,0,0,NA
Austria,AT,2020-03,GISAID,0,0,NA,TRUE,UNK,0,NA,NA
Austria,AT,2020-03,GISAID,0,0,NA,TRUE,XD,0,0,NA
Austria,AT,2020-04,GISAID,0,0,NA,TRUE,B.1.1.529,0,0,NA
Austria,AT,2020-04,GISAID,0,0,NA,TRUE,B.1.617.2,0,0,NA
Austria,AT,2020-04,GISAID,0,0,NA,TRUE,BA.4,0,0,NA
Austria,AT,2020-04,GISAID,0,0,NA,TRUE,BA.5,0,0,NA
Austria,AT,2020-04,GISAID,0,0,NA,TRUE,Other,0,0,NA
Austria,AT,2020-04,GISAID,0,0,NA,TRUE,UNK,0,NA,NA
Austria,AT,2020-04,GISAID,0,0,NA,TRUE,XD,0,0,NA
Austria,AT,2020-05,GISAID,0,0,NA,TRUE,B.1.1.529,0,0,NA
Austria,AT,2020-05,GISAID,0,0,NA,TRUE,B.1.617.2,0,0,NA
Austria,AT,2020-05,GISAID,0,0,NA,TRUE,BA.4,0,0,NA
Austria,AT,2020-05,GISAID,0,0,NA,TRUE,BA.5,0,0,NA
Austria,AT,2020-05,GISAID,0,0,NA,TRUE,Other,0,0,NA
Austria,AT,2020-05,GISAID,0,0,NA,TRUE,UNK,0,NA,NA
Austria,AT,2020-05,GISAID,0,0,NA,TRUE,XD,0,0,NA
Austria,AT,2020-06,GISAID,0,0,NA,TRUE,B.1.1.529,0,0,NA
Austria,AT,2020-06,GISAID,0,0,NA,TRUE,B.1.617.2,0,0,NA
Austria,AT,2020-06,GISAID,0,0,NA,TRUE,BA.4,0,0,NA
Austria,AT,2020-06,GISAID,0,0,NA,TRUE,BA.5,0,0,NA
Austria,AT,2020-06,GISAID,0,0,NA,TRUE,Other,0,0,NA
Austria,AT,2020-06,GISAID,0,0,NA,TRUE,UNK,0,NA,NA
