Country,Response_measure,date_start,date_end
Austria,AdaptationOfWorkplace,16/03/2020,13/04/2020
Austria,AdaptationOfWorkplace,01/04/2021,NA
Austria,BanOnAllEvents,03/11/2020,18/05/2021
Austria,ClosDaycare,16/03/2020,04/05/2020
Austria,ClosDaycare,17/11/2020,07/12/2020
Austria,ClosHigh,16/03/2020,30/09/2020
Austria,ClosPrim,17/11/2020,07/12/2020
Austria,ClosPrim,26/12/2020,06/02/2021
Austria,ClosPrimPartial,16/03/2020,18/05/2020
Austria,ClosPubAny,16/03/2020,13/04/2020
Austria,ClosPubAny,02/05/2020,14/05/2020
Austria,ClosPubAny,16/11/2020,06/12/2020
Austria,ClosPubAny,28/12/2020,06/02/2021
Austria,ClosPubAnyPartial,14/04/2020,01/05/2020
Austria,ClosPubAnyPartial,15/05/2020,15/11/2020
Austria,ClosPubAnyPartial,07/12/2020,27/12/2020
Austria,ClosSec,03/11/2020,07/02/2021
Austria,ClosSecPartial,16/03/2020,03/06/2020
Austria,ClosSecPartial,08/02/2021,16/05/2021
Austria,EntertainmentVenues,16/03/2020,30/04/2020
Austria,EntertainmentVenues,03/11/2020,07/02/2021
Austria,GymsSportsCentres,03/11/2020,18/05/2021
Austria,HotelsOtherAccommodation,31/03/2020,29/05/2020
Austria,HotelsOtherAccommodation,03/11/2020,18/05/2021
Austria,IndoorOver100,11/03/2020,30/06/2020
Austria,IndoorOver1000,01/08/2020,13/09/2020
Austria,IndoorOver50,14/09/2020,02/11/2020
Austria,IndoorOver500,01/07/2020,31/07/2020
Austria,MasksMandatoryAllSpaces,14/09/2020,09/06/2021
Austria,MasksMandatoryClosedSpacesPartial,15/06/2020,08/07/2020
Austria,MasksVoluntaryClosedSpacesPartial,31/03/2020,05/04/2020
Austria,MassGather50,03/11/2020,18/05/2021
Austria,MassGather50Partial,14/09/2020,02/11/2020
Austria,MassGatherAll,11/03/2020,31/07/2020
Austria,MassGatherAll,03/11/2020,18/05/2021
Austria,MassGatherAllPartial,01/08/2020,02/11/2020
Austria,NonEssentialShops,16/03/2020,13/04/2020
Austria,NonEssentialShops,17/11/2020,06/12/2020
Austria,NonEssentialShops,26/12/2020,07/02/2021
Austria,NonEssentialShopsPartial,14/04/2020,01/05/2020
Austria,NonEssentialShopsPartial,07/12/2020,25/12/2020
Austria,OutdoorOver100,14/09/2020,02/11/2020
Austria,OutdoorOver1000,01/08/2020,13/09/2020
Austria,OutdoorOver500,11/03/2020,31/07/2020
Austria,PlaceOfWorship,16/03/2020,14/05/2020
Austria,PlaceOfWorship,16/11/2020,06/12/2020
Austria,PlaceOfWorship,28/12/2020,06/02/2021
Austria,PlaceOfWorshipPartial,15/05/2020,15/11/2020
Austria,PlaceOfWorshipPartial,07/12/2020,27/12/2020
Austria,PrivateGatheringRestrictions,16/03/2020,30/04/2020
Austria,PrivateGatheringRestrictions,23/10/2020,16/11/2020
Austria,QuarantineForInternationalTravellers,10/03/2020,NA
Austria,RegionalStayHomeOrder,01/04/2021,02/05/2021
Austria,RestaurantsCafes,16/03/2020,14/05/2020
Austria,RestaurantsCafes,03/11/2020,14/05/2021
Austria,SocialCircle,17/11/2020,18/05/2021
